CLASE_LIB;AUTOR;AUTOR_PRINCIPAL;AÑO_EDICION;TITULO;EDITOR;TIPO;TAMAÑO;NUMCOLECCION
Aperturas;Aagaard Jacob & Lund Esben;Aagaard Jacob;2002;Meeting 1.d4;Ed Everyman;pdf;6.6;
Aperturas;Aagaard Jacob & Ntirlis Nikolaos;Aagaard Jacob;2011;Grandmaster Repertoire 10 The Tarrasch Defence;Ed Quality Chess;pdf;10.7;
Aperturas;Aagaard Jacob & Ntirlis Nikolaos;Aagaard Jacob;2013;Playing the French;Ed Quality Chess;pdf;9.3;
Aperturas;Aagaard Jacob & Pinski Jan;Aagaard Jacob;2001;Sicilian Kalashnikov;Ed Everyman;pdf;4;
Aperturas;Aagaard Jacob & Shaw John;Aagaard Jacob;2011;Experts vs the Anti Sicilian;Ed Quality Chess;pdf;15.1;
Aperturas;Aagaard Jacob;Aagaard Jacob;1998;Easy Guide to the Panov-Botvinnik Attack;Ed Cadogan;pdf;10.5;
Aperturas;Aagaard Jacob;Aagaard Jacob;2000;Easy Guide to the Sveshnikov Sicilian;Ed Everyman;pdf;14;
Aperturas;Aagaard Jacob;Aagaard Jacob;2002;Queen's Indian Defence;Ed Everyman;pdf;18.8;
Aperturas;Acers Jude & Laven George;Acers Jude;2003;The Italian Gambit;Ed Malloy & Malloy;pdf;22.8;
Aperturas;Adorjan Andras & Horvath;Adorjan Andras;1988;Defensa Siciliana Variante Sveshnikov;Ed Mr;pdf;37.6;083.
Aperturas;Alburt Lev & Chernin;Alburt Lev;2001;Pirc Alert!;Ed Chess Information;pdf;96.6;
Aperturas;Alburt Lev & Dzindzichashvili & Perelshteyn;Alburt Lev;2005;Chess Openings for Black Explained;Ed Chess Information;pdf;22.7;
Aperturas;Alburt Lev & Dzindzichashvili & Perelshteyn;Alburt Lev;2007;Chess Openings for White Explained;Ed Chess Information;pdf;13.6;
Aperturas;Alburt Lev & Schiller Eric;Alburt Lev;1985;The Alekhine for the Tournament Player;Ed Batsford;pdf;6.1;
Aperturas;Alterman Boris;Alterman Boris;2010;The Alterman Gambit Guide (White Gambits);Ed Quality Chess;pdf;10.4;
